Timestamp,Start,End,Walls,Path Length,Agent Type,Noise Level,Max Depth,Success,Nodes Explored,Search Time (μs)
2025-05-02 03:01:32,"(13, 4)","(6, 8)",69,12,Dynamic,N/A,N/A,Yes,13,140
2025-05-02 03:02:38,"(13, 0)","(6, 1)",71,13,Dynamic,N/A,N/A,Yes,18,114
2025-05-02 03:13:34,"(13, 3)","(6, 7)",0,12,Dynamic,N/A,N/A,Yes,12,115
2025-05-02 03:13:39,"(13, 3)","(6, 11)",0,16,Dynamic,N/A,N/A,Yes,16,135
2025-05-02 03:14:07,"(13, 3)","(4, 6)",0,13,Dynamic,N/A,N/A,Yes,13,99
2025-05-02 03:14:13,"(13, 3)","(13, 0)",0,4,Dynamic,N/A,N/A,Yes,4,77
2025-05-02 03:14:19,"(13, 3)","(8, 2)",0,7,Dynamic,N/A,N/A,Yes,7,68
2025-05-02 03:14:25,"(3, 7)","(8, 2)",0,11,Dynamic,N/A,N/A,Yes,31,214
2025-05-02 03:14:57,"(13, 5)","(4, 5)",0,10,Dynamic,N/A,N/A,Yes,10,106
2025-05-02 03:15:02,"(13, 5)","(4, 12)",0,17,Dynamic,N/A,N/A,Yes,17,121
2025-05-02 03:15:39,"(8, 3)","(3, 11)",0,14,Dynamic,N/A,N/A,Yes,14,98
2025-05-02 03:16:01,"(10, 5)","(4, 8)",0,10,Dynamic,N/A,N/A,Yes,10,109
2025-05-02 03:16:08,"(10, 5)","(10, 8)",0,4,Dynamic,N/A,N/A,Yes,4,39
2025-05-02 03:16:37,"(10, 3)","(2, 10)",0,16,Dynamic,N/A,N/A,Yes,16,123
2025-05-02 03:17:03,"(13, 4)","(4, 10)",0,16,Dynamic,N/A,N/A,Yes,16,477
2025-05-02 03:17:28,"(9, 6)","(3, 10)",0,11,Dynamic,N/A,N/A,Yes,11,126
2025-05-02 03:17:33,"(9, 6)","(10, 11)",0,7,Dynamic,N/A,N/A,Yes,12,79
2025-05-02 03:17:38,"(9, 6)","(9, 0)",0,7,Dynamic,N/A,N/A,Yes,7,72
2025-05-02 03:17:42,"(9, 6)","(13, 4)",0,7,Dynamic,N/A,N/A,Yes,13,181
2025-05-02 03:18:05,"(13, 4)","(13, 14)",0,11,Dynamic,N/A,N/A,Yes,11,81
2025-05-02 03:18:10,"(13, 4)","(7, 4)",0,7,Dynamic,N/A,N/A,Yes,7,65
2025-05-02 03:18:16,"(0, 6)","(5, 8)",0,8,Dynamic,N/A,N/A,Yes,18,114
2025-05-02 03:18:26,"(11, 0)","(4, 10)",71,18,Dynamic,N/A,N/A,Yes,37,175
2025-05-02 03:24:58,"(6, 2)","(6, 11)",0,10,Dynamic,N/A,N/A,Yes,10,86
2025-05-02 03:25:56,"(12, 3)","(12, 12)",0,10,Dynamic,N/A,N/A,Yes,10,109
2025-05-02 03:40:06,"(10, 5)","(5, 10)",0,11,Dynamic,N/A,N/A,Yes,11,84
2025-05-02 03:48:05,"(9, 8)","(6, 7)",1,5,Dynamic,N/A,N/A,Yes,5,141
2025-05-02 03:48:25,"(11, 3)","(6, 9)",0,12,Dynamic,N/A,N/A,Yes,12,99
2025-05-02 03:51:52,"(11, 7)","(3, 11)",0,13,Dynamic,N/A,N/A,Yes,13,127
2025-05-02 03:52:04,"(14, 14)","(4, 6)",70,21,Dynamic,N/A,N/A,Yes,56,606
