Timestamp,Start,End,Walls,Path Length,Agent Type,Noise Level,Max Depth,Success,Nodes Explored,Search Time (μs),Seed
2025-05-04 02:29:23,"(1, 0)","(13, 14)",70,27,Dynamic,N/A,N/A,Yes,60,363,N/A
2025-05-04 02:29:34,"(1, 0)","(12, 1)",70,21,Dynamic,N/A,N/A,Yes,39,223,N/A
2025-05-04 03:08:46,"(1, 2)","(11, 13)",84,30,Dynamic,N/A,N/A,Yes,82,339,N/A
2025-05-04 03:08:52,"(1, 2)","(11, 13)",91,30,Dynamic,N/A,N/A,Yes,78,327,N/A
2025-05-04 03:08:56,"(1, 2)","(11, 13)",96,32,Dynamic,N/A,N/A,Yes,76,313,N/A
2025-05-04 03:08:56,"(1, 2)","(11, 13)",102,32,Dynamic,N/A,N/A,Yes,68,249,N/A
2025-05-04 03:08:57,"(1, 2)","(11, 13)",108,-1,Dynamic,N/A,N/A,No,54,272,N/A
2025-05-04 03:19:56,"(1, 4)","(12, 14)",72,22,Dynamic,N/A,N/A,Yes,44,232,N/A
2025-05-04 03:20:06,"(1, 4)","(13, 14)",72,23,Dynamic,N/A,N/A,Yes,45,212,N/A
2025-05-04 03:22:10,"(1, 2)","(13, 13)",65,24,Dynamic,N/A,N/A,Yes,71,327,N/A
2025-05-04 03:32:24,"(3, 1)","(10, 12)",75,19,Dynamic,N/A,N/A,Yes,33,175,N/A
2025-05-04 03:32:28,"(3, 1)","(10, 12)",79,19,Dynamic,N/A,N/A,Yes,33,173,N/A
2025-05-04 03:35:02,"(1, 3)","(9, 10)",71,16,Dynamic,N/A,N/A,Yes,48,241,N/A
2025-05-04 03:46:11,"(1, 3)","(12, 14)",74,23,Dynamic,N/A,N/A,Yes,44,221,N/A
2025-05-04 03:46:14,"(1, 3)","(12, 14)",83,23,Dynamic,N/A,N/A,Yes,43,188,N/A
2025-05-04 04:00:15,"(1, 1)","(7, 4)",69,10,Dynamic,N/A,N/A,Yes,21,129,N/A
2025-05-04 04:00:19,"(1, 1)","(7, 4)",73,10,Dynamic,N/A,N/A,Yes,19,385,N/A
2025-05-04 04:16:48,"(2, 0)","(11, 11)",72,-1,Dynamic,N/A,N/A,No,40,173,N/A
2025-05-04 04:16:50,"(2, 0)","(11, 11)",72,-1,Dynamic,N/A,N/A,No,40,188,N/A
2025-05-04 04:16:55,"(2, 0)","(14, 3)",72,-1,Dynamic,N/A,N/A,No,40,170,N/A
2025-05-04 04:17:00,"(2, 0)","(14, 14)",72,-1,Dynamic,N/A,N/A,No,40,222,N/A
2025-05-04 04:33:13,"(1, 1)","(13, 12)",73,26,Dynamic,N/A,N/A,Yes,66,289,N/A
2025-05-04 04:39:35,"(0, 1)","(12, 13)",76,-1,Dynamic,N/A,N/A,No,128,1274,N/A
2025-05-04 04:39:38,"(0, 1)","(13, 2)",76,19,Dynamic,N/A,N/A,Yes,43,231,N/A
2025-05-04 04:39:42,"(0, 1)","(13, 2)",83,-1,Dynamic,N/A,N/A,No,26,113,N/A
2025-05-04 04:39:52,"(4, 1)","(9, 9)",73,14,Dynamic,N/A,N/A,Yes,18,140,N/A
2025-05-04 04:50:47,"(1, 2)","(11, 3)",78,14,Dynamic,N/A,N/A,Yes,28,202,N/A
2025-05-04 04:50:50,"(1, 2)","(11, 3)",83,14,Dynamic,N/A,N/A,Yes,28,157,N/A
2025-05-04 04:50:53,"(1, 2)","(11, 3)",91,14,Dynamic,N/A,N/A,Yes,27,139,N/A
2025-05-04 04:50:54,"(1, 2)","(11, 3)",97,14,Dynamic,N/A,N/A,Yes,25,311,N/A
2025-05-04 04:50:56,"(1, 2)","(12, 1)",97,-1,Dynamic,N/A,N/A,No,53,210,N/A
2025-05-04 04:50:57,"(1, 2)","(12, 1)",101,-1,Dynamic,N/A,N/A,No,14,86,N/A
