Timestamp,Start,End,Walls,Path Length,Agent Type,Noise Level,Max Depth,Success,Nodes Explored,Search Time (μs)
2025-05-02 19:07:48,"(3, 4)","(2, 0)",69,-1,Noise,5,N/A,No,154,926
2025-05-02 19:07:51,"(3, 4)","(11, 14)",69,19,Noise,5,N/A,Yes,53,345
2025-05-02 19:40:23,"(0, 9)","(14, 11)",71,23,Noise,8,N/A,Yes,55,267
2025-05-02 19:50:37,"(1, 7)","(13, 7)",69,19,Noise,7,N/A,Yes,46,243
2025-05-02 19:51:55,"(14, 5)","(5, 6)",75,15,Noise,5,N/A,Yes,38,213
2025-05-02 21:49:09,"(8, 2)","(12, 9)",68,12,Noise,8,N/A,Yes,22,150
2025-05-02 22:04:31,"(1, 7)","(13, 3)",73,-1,Noise,3,N/A,No,123,796
2025-05-02 22:04:34,"(1, 7)","(13, 14)",73,22,Noise,3,N/A,Yes,48,283
2025-05-02 22:05:18,"(1, 7)","(13, 14)",73,22,Noise,3,N/A,Yes,51,1114
2025-05-02 22:06:56,"(1, 7)","(10, 2)",73,15,Noise,3,N/A,Yes,19,196
