Timestamp,Start,End,Walls,Path Length,Agent Type,Noise Level,Max Depth,Success,Nodes Explored,Search Time (μs),Seed
2025-05-04 03:10:45,"(5, 2)","(4, 2)",76,2,Noise,5,N/A,Yes,2,34,N/A
2025-05-04 03:10:47,"(5, 2)","(5, 3)",76,2,Noise,5,N/A,Yes,2,36,N/A
2025-05-04 03:10:49,"(5, 2)","(5, 1)",76,2,Noise,5,N/A,Yes,2,38,N/A
2025-05-04 03:22:26,"(1, 1)","(13, 14)",68,-1,Noise,5,N/A,No,91,417,N/A
2025-05-04 03:22:28,"(1, 1)","(13, 14)",68,-1,Noise,5,N/A,No,91,426,N/A
2025-05-04 03:22:28,"(1, 1)","(13, 14)",68,-1,Noise,5,N/A,No,91,392,N/A
2025-05-04 03:22:28,"(1, 1)","(13, 14)",68,-1,Noise,5,N/A,No,91,397,N/A
2025-05-04 03:22:29,"(1, 1)","(13, 14)",68,-1,Noise,5,N/A,No,91,428,N/A
2025-05-04 03:35:13,"(3, 6)","(13, 13)",72,22,Noise,5,N/A,Yes,60,329,N/A
2025-05-04 03:35:45,"(8, 2)","(1, 3)",74,-1,Noise,5,N/A,No,141,559,N/A
2025-05-04 04:01:22,"(2, 2)","(8, 10)",74,15,Noise,5,N/A,Yes,26,223,N/A
2025-05-04 04:18:06,"(1, 8)","(12, 8)",75,-1,Noise,5,N/A,No,125,577,N/A
2025-05-04 04:18:10,"(1, 8)","(7, 0)",75,21,Noise,5,N/A,Yes,40,266,N/A
2025-05-04 04:18:18,"(1, 8)","(12, 8)",75,-1,Noise,5,N/A,No,125,494,N/A
2025-05-04 04:18:21,"(1, 8)","(12, 12)",75,18,Noise,5,N/A,Yes,31,173,N/A
2025-05-04 04:19:00,"(1, 5)","(12, 12)",73,19,Noise,5,N/A,Yes,37,315,N/A
2025-05-04 04:27:09,"(3, 1)","(9, 12)",70,20,Noise,5,N/A,Yes,31,451,N/A
2025-05-04 04:30:17,"(2, 0)","(10, 6)",76,-1,Noise,5,N/A,No,67,601,N/A
2025-05-04 04:30:22,"(2, 0)","(13, 10)",76,-1,Noise,5,N/A,No,67,299,N/A
2025-05-04 04:30:26,"(2, 0)","(2, 14)",76,17,Noise,5,N/A,Yes,29,154,N/A
